Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Fixed Date
53,Forza Motorsport 7,2017,Racing,Microsoft Studios,0.58,0.81,0.01,0.12,1.52,1/1/2017
54,Dying Light,2015,Action,Warner Bros. Interactive Entertainment,1.01,0.31,0.01,0.14,1.47,1/1/2015
55,Ryse,2013,Action,Microsoft Studios,0.84,0.49,0,0.13,1.47,1/1/2013
56,Forza Horizon 2,2014,Racing,Microsoft Studios,0.56,0.79,0.01,0.11,1.46,1/1/2014
57,Doom (2016),2016,Shooter,Bethesda Softworks,0.76,0.57,0,0.13,1.45,1/1/2016
58,Assassin's Creed Syndicate,2015,Action,Ubisoft,0.71,0.61,0,0.12,1.44,1/1/2015
59,Middle-Earth: Shadow of Mordor,2014,Action,Warner Bros. Interactive Entertainment,0.77,0.52,0.01,0.12,1.42,1/1/2014
60,Rocket League,2016,Sports,505 Games,0.52,0.75,0,0.11,1.38,1/1/2016
61,The Elder Scrolls Online,2015,MMO,Bethesda Softworks,0.86,0.39,0,0.13,1.38,1/1/2015
62,Titanfall 2,2016,Shooter,Electronic Arts,0.88,0.37,0,0.13,1.37,1/1/2016
63,Watch Dogs 2,2016,Action,Ubisoft,0.71,0.53,0,0.12,1.35,1/1/2016
64,FIFA Soccer 14,2013,Sports,EA Sports,0.44,0.78,0,0.1,1.31,1/1/2013
65,Destiny: The Taken King,2015,Shooter,Activision,0.91,0.23,0,0.12,1.27,1/1/2015
66,Battlefield: Hardline,2015,Shooter,Electronic Arts,0.73,0.39,0.01,0.11,1.24,1/1/2015
67,Sunset Overdrive,2014,Action,Microsoft Studios,0.64,0.42,0,0.1,1.16,1/1/2014
68,Middle-Earth: Shadow of War,2017,Action,Warner Bros. Interactive Entertainment,0.75,0.29,0,0.11,1.15,1/1/2017
69,Lego Marvel Super Heroes,2013,Action,Warner Bros. Interactive Entertainment,0.61,0.44,0,0.1,1.15,1/1/2013
70,Final Fantasy XV,2016,Role-Playing,Square Enix,0.72,0.3,0.01,0.11,1.14,1/1/2016
71,Mafia III,2016,Action-Adventure,2K Games,0.54,0.48,0,0.09,1.11,1/1/2016
72,Diablo III,2014,Role-Playing,Blizzard Entertainment,0.62,0.32,0,0.09,1.04,1/1/2014
73,Just Cause 3,2015,Action-Adventure,Square Enix,0.52,0.41,0,0.09,1.01,1/1/2015
74,Far Cry: Primal,2016,Action-Adventure,Ubisoft,0.51,0.41,0,0.09,1,1/1/2016
75,Dragon Age III: Inquisition,2014,Role-Playing,Electronic Arts,0.63,0.27,0,0.09,0.99,1/1/2014
76,Sea of Thieves,2018,Action-Adventure,Microsoft Studios,0.6,0.27,0,0.09,0.96,1/1/2018
77,NBA 2K14,2013,Sports,2K Sports,0.72,0.12,0,0.09,0.94,1/1/2013
